Block Type,96-Well 0.1-mL Block,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,G9,FALSE,A077,Acerv,UNKNOWN,SYBR,None,23.487,23.495,0.01,,,,,,,,TRUE,0.241,TRUE,3,17,Amp,,0.988,N,N,N,N,74.154,,,
82,G10,FALSE,A077,A,UNKNOWN,SYBR,None,21.998,22.129,0.186,,,,,,,,TRUE,0.189,TRUE,3,16,Amp,,0.898,N,N,N,N,85.652,,,
83,G11,FALSE,A077,Acerv,UNKNOWN,SYBR,None,23.502,23.495,0.01,,,,,,,,TRUE,0.241,TRUE,3,19,Amp,,0.985,N,N,N,N,74.296,,,
84,G12,FALSE,A077,A,UNKNOWN,SYBR,None,22.261,22.129,0.186,,,,,,,,TRUE,0.189,TRUE,3,17,Amp,,0.94,N,N,N,N,85.496,,,
85,H1,FALSE,+,Acerv,UNKNOWN,SYBR,None,5.494,5.571,0.108,,,,,,,,TRUE,0.241,TRUE,3,3,Amp,,0.857,N,N,N,N,73.409,,,
86,H2,FALSE,+,A,UNKNOWN,SYBR,None,8.712,8.622,0.127,,,,,,,,TRUE,0.189,TRUE,3,5,Amp,,0.602,N,N,Y,N,85.196,,,
87,H3,FALSE,A105,Acerv,UNKNOWN,SYBR,None,23.551,23.462,0.126,,,,,,,,TRUE,0.241,TRUE,3,18,Amp,,0.987,N,N,N,N,73.99,,,
88,H4,FALSE,A105,A,UNKNOWN,SYBR,None,21.976,22.179,0.287,,,,,,,,TRUE,0.189,TRUE,3,17,Amp,,0.911,N,N,N,N,85.476,,,
89,H5,FALSE,A105,Acerv,UNKNOWN,SYBR,None,23.374,23.462,0.126,,,,,,,,TRUE,0.241,TRUE,3,17,Amp,,0.993,N,N,N,N,74.129,,,
90,H6,FALSE,A105,A,UNKNOWN,SYBR,None,22.382,22.179,0.287,,,,,,,,TRUE,0.189,TRUE,3,16,Amp,,0.866,N,N,N,N,85.313,,,
91,H7,FALSE,A162,Acerv,UNKNOWN,SYBR,None,25.646,25.651,0.007,,,,,,,,TRUE,0.241,TRUE,3,20,Amp,,0.984,N,N,N,N,74.136,,,
92,H8,FALSE,A162,A,UNKNOWN,SYBR,None,21.871,21.85,0.029,,,,,,,,TRUE,0.189,TRUE,3,17,Amp,,0.92,N,N,N,N,85.474,,,
93,H9,FALSE,A162,Acerv,UNKNOWN,SYBR,None,25.656,25.651,0.007,,,,,,,,TRUE,0.241,TRUE,3,20,Amp,,0.973,N,N,N,N,74.154,,,
94,H10,FALSE,A162,A,UNKNOWN,SYBR,None,21.83,21.85,0.029,,,,,,,,TRUE,0.189,TRUE,3,17,Amp,,0.962,N,N,N,N,85.505,,,
95,H11,FALSE,NTC,Acerv,NTC,SYBR,None,Undetermined,,,,,,,,,,TRUE,0.241,TRUE,3,10,No Amp,,0,N,N,N,N,60.001,,,
96,H12,FALSE,NTC,A,NTC,SYBR,None,Undetermined,,,,,,,,,,TRUE,0.189,TRUE,3,39,No Amp,,0,N,N,N,N,77.096,,,
